age,2015_city+village_all_younger,2015_city+village_all_older,2015_city+village_men_younger,2015_city+village_men_older,2015_city+village_women_younger,2015_city+village_women_older,2015_city_all_younger,2015_city_all_older,2015_city_men_younger,2015_city_men_older,2015_city_women_younger,2015_city_women_older,2015_village_all_younger,2015_village_all_older,2015_village_men_younger,2015_village_men_older,2015_village_women_younger,2015_village_women_older,2001_city+village_all_younger,2001_city+village_all_older,2001_city+village_men_younger,2001_city+village_men_older,2001_city+village_women_younger,2001_city+village_women_older,2001_city_all_younger,2001_city_all_older,2001_city_men_younger,2001_city_men_older,2001_city_women_younger,2001_city_women_older,2001_village_all_younger,2001_village_all_older,2001_village_men_younger,2001_village_men_older,2001_village_women_younger,2001_village_women_older
91,0.184,99.740,0.0961,99.869,0.2611,99.628,0.1601,99.778,0.0926,99.877,0.2173,99.695,0.2392,99.654,0.103,99.85,0.360,99.47,0.114,99.825,0.0429,99.933,0.1756,99.733,0.0829,99.873,0.0335,99.947,0.1251,99.810,0.1777,99.728,0.061,99.90,0.278,99.57
92,0.130,99.815,0.0716,99.903,0.1813,99.738,0.1201,99.839,0.0722,99.907,0.1608,99.782,0.1535,99.760,0.070,99.89,0.227,99.63,0.079,99.885,0.0288,99.957,0.1229,99.824,0.0571,99.917,0.0225,99.966,0.0868,99.874,0.1244,99.822,0.041,99.93,0.196,99.72
93,0.088,99.869,0.0500,99.928,0.1213,99.818,0.0827,99.879,0.0510,99.927,0.1096,99.839,0.1007,99.846,0.047,99.92,0.147,99.77,0.053,99.920,0.0189,99.971,0.0830,99.877,0.0381,99.942,0.0148,99.977,0.0580,99.913,0.0842,99.875,0.026,99.95,0.133,99.80
94,0.053,99.911,0.0297,99.949,0.0733,99.878,0.0511,99.917,0.0311,99.948,0.0680,99.890,0.0576,99.899,0.026,99.95,0.085,99.85,0.034,99.946,0.0117,99.981,0.0542,99.916,0.0245,99.961,0.0091,99.985,0.0377,99.941,0.0548,99.915,0.016,99.97,0.087,99.86
95,0.040,99.946,0.0231,99.970,0.0556,99.926,0.0400,99.948,0.0243,99.968,0.0532,99.931,0.0419,99.942,0.020,99.97,0.061,99.91,0.022,99.965,0.0072,99.988,0.0350,99.945,0.0156,99.975,0.0057,99.990,0.0242,99.962,0.0352,99.945,0.010,99.98,0.056,99.91
96,0.028,99.959,0.0169,99.976,0.0381,99.944,0.0298,99.959,0.0185,99.975,0.0394,99.946,0.0248,99.958,0.013,99.97,0.035,99.93,0.014,99.977,0.0045,99.992,0.0224,99.964,0.0099,99.984,0.0036,99.994,0.0152,99.975,0.0227,99.964,0.006,99.98,0.036,99.94
97,0.020,99.971,0.0121,99.983,0.0281,99.961,0.0220,99.970,0.0133,99.981,0.0293,99.960,0.0178,99.975,0.009,99.98,0.025,99.96,0.009,99.985,0.0026,99.995,0.0144,99.977,0.0062,99.990,0.0022,99.996,0.0096,99.984,0.0146,99.977,0.003,99.99,0.024,99.96
98,0.017,99.979,0.0101,99.987,0.0233,99.971,0.0188,99.977,0.0111,99.986,0.0254,99.970,0.0136,99.982,0.008,99.99,0.018,99.97,0.005,99.990,0.0015,99.997,0.0087,99.985,0.0035,99.993,0.0012,99.997,0.0055,99.990,0.0091,99.985,0.002,99.99,0.015,99.97
99,0.014,99.982,0.0085,99.989,0.0204,99.976,0.0164,99.981,0.0094,99.988,0.0223,99.974,0.0114,99.986,0.006,99.99,0.015,99.98,0.003,99.994,0.0008,99.998,0.0052,99.991,0.0020,99.996,0.0007,99.998,0.0031,99.994,0.0055,99.990,0.001,99.99,0.009,99.98
100,0,99.985,0,99.991,0,99.979,0,99.983,0,99.990,0,99.977,0,99.988,0,99.99,0,99.98,0,99.996,0,99.999,0,99.994,0,99.997,0,99.999,0,99.996,0,99.994,0,99.99,0,99.99
